16:04:14.331 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:14.331 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //h1[contains(text(),'Customer service - Contact us')]
16:04:14.348 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //h1[contains(text(),'Customer service - Contact us')]
16:04:14.370 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //input[@id='email']
16:04:14.383 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //input[@id='email']
16:04:14.493 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.id: id_order
16:04:14.507 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.id: id_order
16:04:14.590 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //textarea[@id='message']
16:04:14.617 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //textarea[@id='message']
16:04:14.729 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.name: submitMessage
16:04:14.741 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.name: submitMessage
16:04:14.741 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> name: submitMessage]
16:04:15.796 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> name: submitMessage]
16:04:15.800 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //li[contains(text(),'Please select a subject from the list provided.')]
16:04:15.821 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //li[contains(text(),'Please select a subject from the list provided.')]
16:04:15.840 [main] INFO  oct1_log4jframework.LogfileImpl - Test Successfully Finished : ContactUsTest005
16:04:15.843 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:15.882 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:15.882 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:17.470 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (35fa6ab51d8c3b39d39f63a20fd225ba)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:42.364 [main] INFO  oct1_log4jframework.LogfileImpl - New Test Started : Logintest001
16:04:42.364 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.linkText: Sign in
16:04:42.394 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.linkText: Sign in
16:04:42.396 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> link text: Sign in]
16:04:44.893 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> link text: Sign in]
16:04:44.893 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //input[@id='email']
16:04:44.914 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //input[@id='email']
16:04:45.053 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //input[@id='passwd']
16:04:45.086 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //input[@id='passwd']
16:04:45.211 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.name: SubmitLogin
16:04:45.229 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.name: SubmitLogin
16:04:45.229 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> name: SubmitLogin]
16:04:47.433 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> name: SubmitLogin]
16:04:47.435 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:47.461 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:47.525 [main] INFO  oct1_log4jframework.LogfileImpl - logintest001 pass
16:04:47.527 [main] INFO  oct1_log4jframework.LogfileImpl - Test Successfully Finished : Logintest001
16:04:47.533 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:47.548 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:47.549 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:51.218 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:04:53.373 [main] INFO  oct1_log4jframework.LogfileImpl - New Test Started : Logintest002
16:04:53.374 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.linkText: Sign in
16:04:53.396 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.linkText: Sign in
16:04:53.396 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> link text: Sign in]
16:04:55.592 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> link text: Sign in]
16:04:55.592 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //input[@id='email']
16:04:55.609 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //input[@id='email']
16:04:55.723 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //input[@id='passwd']
16:04:55.739 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //input[@id='passwd']
16:04:55.839 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.name: SubmitLogin
16:04:55.851 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.name: SubmitLogin
16:04:55.851 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> name: SubmitLogin]
16:04:57.731 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> name: SubmitLogin]
16:04:57.734 [main] INFO  oct1_log4jframework.LogfileImpl - logintest002 pass
16:04:57.735 [main] INFO  oct1_log4jframework.LogfileImpl - Test Successfully Finished : Logintest002
16:04:57.736 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:57.752 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
16:04:57.752 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:05:00.441 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (be85dc5691bec5d67016cfce421cf4a0)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
16:05:00.739 [main] INFO  oct1_log4jframework.LogfileImpl - This is onFinish method  : [ResultMap map=[[TestResult name=ContactUsTest001 status=SUCCESS method=ContactUs.ContactUsTest001()[pri:0, instance:oct1_log4jframework.ContactUs@efde75f] output={null}], [TestResult name=ContactUsTest005 status=SUCCESS method=ContactUs.ContactUsTest005()[pri:0, instance:oct1_log4jframework.ContactUs@efde75f] output={null}], [TestResult name=Logintest002 status=SUCCESS method=LoginTestcases.Logintest002()[pri:0, instance:oct1_log4jframework.LoginTestcases@13e3c1c7] output={null}], [TestResult name=ContactUsTest004 status=SUCCESS method=ContactUs.ContactUsTest004()[pri:0, instance:oct1_log4jframework.ContactUs@efde75f] output={null}], [TestResult name=ContactUsTest002 status=SUCCESS method=ContactUs.ContactUsTest002()[pri:0, instance:oct1_log4jframework.ContactUs@efde75f] output={null}], [TestResult name=Logintest001 status=SUCCESS method=LoginTestcases.Logintest001()[pri:0, instance:oct1_log4jframework.LoginTestcases@13e3c1c7] output={null}]]]
16:05:00.741 [main] INFO  oct1_log4jframework.LogfileImpl - This is onFinish method  : [ResultMap map=[[TestResult name=ContactUsTest003 status=FAILURE method=ContactUs.ContactUsTest003()[pri:0, instance:oct1_log4jframework.ContactUs@efde75f] output={null}]]]
13:27:57.521 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
13:27:57.608 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
13:27:57.618 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to click on: [[ChromeDriver: chrome on WINDOWS (287724754815236bb9353b354b1c0699)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
13:28:04.303 [main] INFO  oct1_log4jframework.LogfileImpl - Clicked on: [[ChromeDriver: chrome on WINDOWS (287724754815236bb9353b354b1c0699)] -> xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]]
14:21:37.188 [main] INFO  oct1_log4jframework.LogfileImpl - This is onStart method : C:\automation\eclipse workspace\Sep-Selenium\test-output\Suite
14:22:02.715 [main] INFO  oct1_log4jframework.LogfileImpl - New Test Started : f
14:22:02.726 [main] INFO  oct1_log4jframework.LogfileImpl - Test Successfully Finished : f
14:22:02.727 [main] INFO  oct1_log4jframework.LogfileImpl - Trying to find Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
14:22:02.793 [main] INFO  oct1_log4jframework.LogfileImpl - Found Element By : By.xpath: //header/div[2]/div[1]/div[1]/nav[1]/div[2]/a[1]
